ticker,cusip,isin,weight,order_time,order_type
SPY,78462F103,US78462F1030,0.04476118534092693,MOC,default
QQQ,46090E103,US46090E1038,0.01188914333132022,MOC,default
EFA,464287465,US4642874659,0.045354050829777615,MOC,default
EEM,464287234,US4642872349,0.039251371592439084,MOC,default
TLT,464287432,US4642874329,0.04477178983941879,MOC,default
IEF,464287440,US4642874402,0.12705906289721933,MOC,default
GLD,78463V107,US78463V1070,0.06486978118180893,MOC,default
SLV,46428Q109,US46428Q1094,0.02459471518708202,MOC,default
USO,91232N207,US91232N2071,-0.004737555607566319,MOC,default
DBA,46140H106,US46140H1068,0.034988294685870364,MOC,default
DBC,46138B103,US46138B1035,-0.0019910165642195578,MOC,default
UNG,912318409,US9123184098,0.020808418396364832,MOC,default
FXE,46138K103,US46138K1034,0.12224313751545707,MOC,default
FXB,46138M109,US46138M1099,0.1692554452587711,MOC,default
FXY,46138W107,US46138W1071,0.1433521193681814,MOC,default
FXA,46090N103,US46090N1037,0.0751980478736639,MOC,default
FXC,46138T104,US46138T1043,-0.02487486452991255,MOC,default
