ticker,cusip,isin,weight,order_time,order_type
NFLX,64110L106,US64110L1061,-0.07172166028303428,MOC,default
AVGO,11135F101,US11135F1012,-0.052421890753519294,MOC,default
ORCL,68389X105,US68389X1054,-0.040950756416769936,MOC,default
META,30303M102,US30303M1027,-0.03534503324071045,MOC,default
AMZN,023135106,US0231351067,-0.03439439723727073,MOC,default
GOOGL,02079K305,US02079K3059,-0.03275009963201217,MOC,default
MA,57636Q104,US57636Q1040,0.032241003320090354,MOC,default
V,92826C839,US92826C8394,0.03274504998086002,MOC,default
ADBE,00724F101,US00724F1012,0.034681536683922924,MOC,default
NVDA,67066G104,US67066G1040,0.04056667123364084,MOC,default
XOM,30231G102,US30231G1022,0.04876594945249026,MOC,default
CSCO,17275R102,US17275R1023,0.05257655809746893,MOC,default
PG,742718109,US7427181091,0.053812848540053373,MOC,default
BAC,060505104,US0605051046,0.05675577470313294,MOC,default
WMT,931142103,US9311421039,0.07384764077843248,MOC,default
COST,22160K105,US22160K1051,0.07486967713117983,MOC,default
ABBV,00287Y109,US00287Y1091,0.07552355143244889,MOC,default
PEP,713448108,US7134481081,0.0775918552958583,MOC,default
MRK,58933Y105,US58933Y1055,0.07843804578710394,MOC,default
