ticker,cusip,isin,weight,order_time,order_type
AJG,363576109,US3635761097,0.05439960173715584,MOC,default
APO,03769M106,US03769M1062,0.053368811804056705,MOC,default
AXP,025816109,US0258161092,0.04132738489211013,MOC,default
ABNB,009066101,US0090661010,0.03634517418759792,MOC,default
ADSK,052769106,US0527691069,0.02982050440046069,MOC,default
ARES,03990B101,US03990B1017,0.025097297523217675,MOC,default
AMZN,023135106,US0231351067,0.023483125069332436,MOC,default
ATO,049560105,US0495601058,0.021741845450992794,MOC,default
ADP,053015103,US0530151036,0.021570218685497917,MOC,default
AME,031100100,US0311001004,0.02100082209992715,MOC,default
AVY,053611109,US0536111091,0.020512253117608664,MOC,default
ALB,012653101,US0126531013,0.02006812365638739,MOC,default
AFL,001055102,US0010551028,0.01931940091665631,MOC,default
AVB,053484101,US0534841012,0.018728378006206775,MOC,default
AON,G0403H108,IE00BLP1HW54,0.017707243976229414,MOC,default
APTV,00BTDN8H1,JE00BTDN8H13,0.017671455008318127,MOC,default
AMP,03076C106,US03076C1062,0.013162151463943355,MOC,default
APP,03831W108,US03831W1080,0.012064781200788806,MOC,default
AES,00130H105,US00130H1059,0.00972839635564828,MOC,default
AMCR,00BJ1F307,JE00BV7DQ550,0.007228285289747232,MOC,default
ARE,015271109,US0152711091,0.005073517110925544,MOC,default
A,00846U101,US00846U1016,0.0038616220581431738,MOC,default
ABT,002824100,US0028241000,0.0032166391976988797,MOC,default
APA,03743Q108,US03743Q1085,0.0019360688400237973,MOC,default
ACGL,G0450A105,BMG0450A1053,0.0015668979513249622,MOC,default
ADM,039483102,US0394831020,-0.0018294004476268493,MOC,default
ACN,G1151C101,IE00B4BNMY34,-0.002194084919939879,MOC,default
ALL,020002101,US0200021014,-0.0033282360977585175,MOC,default
APH,032095101,US0320951017,-0.0038627294591972857,MOC,default
ABBV,00287Y109,US00287Y1091,-0.004036060884088577,MOC,default
ALGN,016255101,US0162551016,-0.004957430774695961,MOC,default
AOS,831865209,US8318652091,-0.0062141464418644645,MOC,default
AMD,007903107,US0079031078,-0.006748441639484564,MOC,default
ADI,032654105,US0326541051,-0.006901615223856347,MOC,default
AEP,025537101,US0255371017,-0.009729448948419083,MOC,default
AEE,023608102,US0236081024,-0.010185567858201714,MOC,default
AIG,026874784,US0268747849,-0.012993889257512407,MOC,default
AMAT,038222105,US0382221051,-0.014139688252812086,MOC,default
ANET,040413205,US0404132054,-0.014890906600897017,MOC,default
APD,009158106,US0091581068,-0.015250169856528795,MOC,default
AKAM,00971T101,US00971T1016,-0.01854959067954316,MOC,default
ADBE,00724F101,US00724F1012,-0.019941883630564476,MOC,default
AAPL,037833100,US0378331005,-0.020558235272680594,MOC,default
ALLE,G0176J109,IE00BFRT3W74,-0.031025334247650842,MOC,default
AMGN,031162100,US0311621009,-0.03158521146584891,MOC,default
AVGO,11135F101,US11135F1012,-0.03324237996605267,MOC,default
AIZ,04621X108,US04621X1081,-0.042871843570114365,MOC,default
AMT,03027X100,US03027X1000,-0.04479828946122305,MOC,default
AWK,030420103,US0304201033,-0.0659073888594265,MOC,default
AXON,05464C101,US05464C1018,-0.0742580261840119,MOC,default
